%Automatically built ARFF-file
%Feature sets: ['avg_sentiment_no_neutral', 'min_sentiment', 'max_sentiment']
@RELATION sentiment

@ATTRIBUTE avg_sentiment_no_neutral NUMERIC
@ATTRIBUTE max_sentiment NUMERIC
@ATTRIBUTE min_sentiment NUMERIC
@ATTRIBUTE sentiment {"--", "-", "0", "+", "++"}

@DATA
0.811343333333,0.84722,0.5,"+"
0.76389,0.76389,0.5,"+"
0.91667,0.94444,0.5,"++"
0.671715454545,0.75,0.5,"+"
0.88889,0.79167,0.5,"+"
?,0.68056,0.5,"+"
0.552085,0.76389,0.5,"++"
0.607140714286,0.75,0.61111,"+"
0.70833,0.61111,0.52778,"+"
0.45139,0.69444,0.63889,"+"
0.716145,0.79167,0.5,"+"
0.76389,0.73611,0.52778,"+"
0.63889,0.59722,0.56944,"+"
0.849356923077,0.91667,0.5,"++"
0.735294705882,0.88889,0.66667,"++"
0.75,0.81944,0.5,"++"
0.711112,0.76389,0.44444,"+"
0.81944,0.73611,0.5,"++"
0.81944,0.63889,0.625,"++"
0.3668975,0.80556,0.5,"+"
0.72222,0.72222,0.58333,"+"
0.761904285714,0.76389,0.51389,"++"
?,0.70833,0.5,"0"
0.678241666667,0.73611,0.5,"++"
0.683642222222,0.875,0.5,"+"
?,0.55556,0.5,"0"
?,0.5,0.29167,"-"
0.661614545455,0.76389,0.5,"+"
0.439390909091,0.51389,0.5,"0"
0.61111,0.61111,0.59722,"+"
0.77778,0.77778,0.5,"+"
0.36111,0.61111,0.23611,"-"
0.76389,0.76389,0.5,"++"
0.83333,0.72222,0.5,"++"
0.81944,0.77778,0.5,"+"
0.65278,0.77778,0.5,"+"
0.73611,0.80556,0.41667,"+"
0.72222,0.83333,0.5,"+"
0.5233336,0.70833,0.5,"+"
0.651711538462,0.63889,0.58333,"+"
0.77778,0.77778,0.40278,"+"
0.563368125,0.68056,0.63889,"0"
0.742286666667,0.79167,0.47222,"+"
0.36111,0.59722,0.55556,"+"
0.61111,0.59722,0.55556,"0"
0.73611,0.75,0.5,"+"
0.3715275,0.56944,0.5,"+"
0.738888,0.58333,0.5,"0"
0.652777272727,0.72222,0.5,"+"
0.608796666667,0.66667,0.5,"+"
0.765351578947,0.88889,0.41667,"+"
0.6866325,0.66667,0.14583,"0"
0.771740869565,0.77778,0.44444,"++"
0.723379166667,0.86111,0.625,"+"
0.375,0.5,0.47222,"-"
0.38889,0.58333,0.5,"0"
0.76389,0.76389,0.48611,"++"
0.69444,0.72222,0.52778,"+"
?,0.77778,0.5,"+"
0.30556,0.51389,0.5,"-"
0.38889,0.56944,0.5,"+"
0.774801428571,0.83333,0.5,"++"
0.64815,0.94444,0.65278,"++"
0.625,0.625,0.5,"+"
0.384719,0.70833,0.45833,"+"
0.736928823529,0.80556,0.5,"+"
0.66667,0.58333,0.5,"+"
0.70833,0.70833,0.5,"+"
0.281483333333,0.5,0.23611,"-"
0.94444,1.0,0.47222,"++"
0.86111,0.93056,0.5,"++"
0.657896315789,0.72222,0.5,"0"
0.79167,0.79167,0.79167,"++"
0.75,0.75,0.44444,"+"
0.483583636364,0.72222,0.34722,"+"
0.58488,0.81944,0.5,"+"
0.66667,0.61111,0.5,"+"
0.79167,0.88889,0.77778,"++"
0.66667,0.83333,0.5,"+"
0.91667,0.94444,0.5,"++"
0.62963,0.54167,0.5,"+"
0.576849333333,0.77778,0.5,"+"
0.70581,0.93056,0.5,"++"
0.88889,0.75,0.66667,"++"
0.79321037037,0.84722,0.5,"++"
0.77778,0.76389,0.5,"+"
0.625,0.79167,0.5,"+"
0.535186666667,0.73611,0.41667,"+"
0.444443333333,0.66667,0.5,"+"
0.677776,0.83333,0.5,"0"
0.66667,0.72222,0.59722,"+"
0.729165,0.5,0.45833,"+"
0.31944,0.5,0.36111,"+"
0.625,0.72222,0.625,"+"
0.659725,0.61111,0.52778,"-"
0.570708181818,0.61111,0.5,"0"
0.845834,0.875,0.59722,"++"
0.702776,0.86111,0.41667,"0"
?,0.61111,0.41667,"+"
0.86111,0.86111,0.5,"++"
?,0.625,0.54167,"0"
0.598765555556,0.98611,0.5,"++"
0.91667,0.75,0.5,"+"
0.561112,0.625,0.25,"-"
0.27778,0.79167,0.5,"0"
0.72222,0.75,0.52778,"+"
0.90278,0.95833,0.5,"++"
0.667482352941,0.83333,0.5,"+"
0.540123333333,0.55556,0.5,"+"
0.65277625,0.77778,0.5,"++"
0.66667,0.76389,0.5,"+"
0.636243333333,0.83333,0.40278,"+"
0.555553636364,0.5,0.45833,"+"
0.636904285714,0.80556,0.61111,"+"
0.63889,0.75,0.5,"+"
0.697222,0.70833,0.55556,"+"
0.88889,0.68056,0.5,"++"
0.47685,0.68056,0.5,"+"
0.66667,0.61111,0.5,"+"
0.504167666667,0.58333,0.51389,"-"
0.750001428571,0.77778,0.5,"+"
0.809527142857,0.72222,0.66667,"++"
?,0.77778,0.5,"+"
0.616160909091,0.625,0.59722,"+"
0.61979375,0.65278,0.38889,"++"
0.91667,0.91667,0.5,"++"
0.66667,0.5,0.40278,"+"
0.805555,0.73611,0.5,"+"
0.770835,0.79167,0.43056,"++"
0.561966923077,0.76389,0.44444,"+"
0.68056,0.76389,0.68056,"+"
0.537698571429,0.73611,0.61111,"0"
0.728175714286,0.94444,0.55556,"++"
0.388889090909,0.58333,0.5,"0"
0.68056,0.76389,0.51389,"+"
0.83333,0.79167,0.5,"++"
0.30556,0.72222,0.5,"0"
0.364198888889,0.5,0.26389,"0"
0.858585,0.80556,0.5,"++"
0.875,0.80556,0.5,"+"
0.757576363636,0.97222,0.5,"+"
?,0.55556,0.5,"0"
0.428572857143,0.59722,0.5,"+"
0.823149333333,0.875,0.5,"++"
0.79167,0.81944,0.5,"+"
0.619657692308,0.73611,0.5,"+"
0.743589230769,0.75,0.73611,"++"
0.712963333333,0.86111,0.5,"+"
0.75,0.81944,0.68056,"++"
0.592172727273,0.69444,0.61111,"+"
0.72222,0.5,0.34722,"+"
0.745373333333,0.79167,0.30556,"0"
0.77778,0.61111,0.5,"++"
0.33333,0.5,0.16667,"-"
0.605771538462,0.56944,0.55556,"++"
0.81944,0.81944,0.5,"++"
0.125,0.5,0.43056,"+"
0.72222,0.625,0.5,"+"
0.6277765,0.69444,0.5,"++"
0.75,0.81944,0.5,"+"
0.527776666667,0.73611,0.5,"+"
?,0.58333,0.5,"++"
0.448147333333,0.625,0.58333,"++"
0.66667,0.875,0.625,"+"
0.63889,0.5,0.47222,"+"
0.473483636364,0.68056,0.52778,"0"
?,0.88889,0.5,"++"
0.83333,0.90278,0.5,"++"
0.69444,0.80556,0.5,"+"
0.508988235294,0.68056,0.47222,"0"
?,0.51389,0.5,"-"
0.6625,0.73611,0.5,"++"
0.616666,0.77778,0.5,"+"
?,0.5,0.44444,"+"
0.83333,0.72222,0.5,"++"
0.567901111111,0.625,0.22222,"+"
0.508989411765,0.77778,0.5,"+"
0.759255333333,0.72222,0.5,"+"
?,0.61111,0.54167,"+"
0.66667,0.66667,0.61111,"+"
0.83333,0.77778,0.5,"++"
?,0.76389,0.5,"0"
0.33333,0.5,0.27778,"-"
0.75,0.65278,0.5,"+"
0.555556,0.58333,0.55556,"0"
0.875,0.90278,0.5,"++"
0.83333,0.65278,0.625,"++"
0.7272224,0.77778,0.5,"+"
0.69444,0.84722,0.5,"++"
0.23611,0.51389,0.23611,"+"
0.69444,0.72222,0.5,"+"
0.73611,0.72222,0.5,"+"
?,0.5,0.45833,"0"
0.66667,0.66667,0.5,"+"
0.64766,0.875,0.5,"+"
0.608585454545,0.59722,0.5,"0"
0.793804615385,0.84722,0.5,"++"
0.6562525,0.59722,0.5,"+"
0.807693076923,0.77778,0.5,"++"
0.38889,0.81944,0.5,"+"
0.822424285714,0.81944,0.5,"+"
0.77778,0.65278,0.59722,"+"
0.875,0.80556,0.48611,"++"
0.475928,0.72222,0.56944,"++"
0.68402625,0.90278,0.5,"+"
?,0.63889,0.5,"+"
0.69444,0.68056,0.5,"+"
0.73611,0.73611,0.68056,"++"
0.70833,0.77778,0.5,"+"
0.38889,0.58333,0.38889,"+"
0.593366111111,0.83333,0.5,"++"
0.671496956522,0.80556,0.61111,"++"
0.738561764706,0.79167,0.625,"+"
?,0.55556,0.5,"-"
0.77778,0.63889,0.5,"+"
0.6770875,0.68056,0.65278,"++"
0.7777775,0.93056,0.5,"++"
0.680556666667,0.73611,0.63889,"+"
0.567901111111,0.69444,0.33333,"+"
0.75347625,0.80556,0.625,"+"
?,0.5,0.47222,"+"
0.66667,0.66667,0.5,"+"
0.69444,0.69444,0.5,"+"
0.61111,0.88889,0.5,"++"
0.752528181818,0.80556,0.5,"+"
0.80764,0.875,0.72222,"++"
0.63889,0.80556,0.5,"++"
0.63889,0.77778,0.5,"+"
0.745373333333,0.56944,0.5,"++"
0.83333,0.875,0.58333,"++"
0.544446666667,0.84722,0.27778,"+"
0.654319444444,0.72222,0.625,"+"
0.69444,0.69444,0.51389,"++"
0.79167,0.66667,0.5,"+"
0.480262631579,0.69444,0.5,"+"
0.76041625,0.91667,0.5,"++"
?,0.5,0.47222,"0"
0.41204,0.73611,0.5,"+"
0.785492222222,0.63889,0.5,"++"
0.833332307692,0.94444,0.54167,"+"
0.69444,0.72222,0.5,"+"
0.5,0.83333,0.5,"++"
0.623841666667,0.86111,0.5,"++"
0.77778,0.76389,0.5,"+"
0.73611,0.83333,0.5,"+"
0.25,0.65278,0.48611,"0"
0.678031818182,0.75,0.66667,"++"
0.38889,0.5,0.5,"0"
0.7326375,0.80556,0.5,"+"
0.366666,0.5,0.22222,"-"
0.61111,0.77778,0.55556,"++"
0.75,0.69444,0.5,"++"
0.6350725,0.63889,0.44444,"0"
0.299383333333,0.61111,0.5,"+"
0.80556,0.72222,0.5,"++"
0.27778,0.45833,0.375,"-"
0.743055,0.875,0.5,"+"
?,0.55556,0.5,"0"
?,0.5,0.47222,"0"
0.86111,0.80556,0.5,"+"
0.88889,0.66667,0.5,"+"
?,0.56944,0.55556,"+"
0.86111,0.75,0.5,"++"
0.619153157895,0.66667,0.51389,"+"
?,0.54167,0.5,"0"
0.728067368421,0.875,0.66667,"++"
0.66667,0.66667,0.59722,"+"
?,0.51389,0.5,"0"
0.61111,0.66667,0.5,"+"
0.81944,0.86111,0.5,"+"
0.77778,0.69444,0.5,"+"
0.68056,0.69444,0.5,"+"
0.664685714286,0.77778,0.56944,"++"
0.365736666667,0.70833,0.44444,"0"
?,0.80556,0.51389,"+"
0.791665,0.875,0.73611,"++"
0.80556,0.65278,0.5,"+"
0.84722,0.72222,0.38889,"++"
0.61111,0.80556,0.55556,"++"
0.375,0.84722,0.5,"++"
0.72222,0.83333,0.5,"+"
0.699075,0.72222,0.33333,"++"
0.70833,0.70833,0.5,"+"
?,0.56944,0.54167,"+"
0.611110769231,0.76389,0.5,"+"
0.720485,0.88889,0.56944,"+"
0.38889,0.61111,0.5,"+"
0.666664,0.80556,0.44444,"+"
?,0.58333,0.5,"0"
0.706481333333,0.875,0.66667,"++"
0.38889,0.5,0.29167,"-"
0.534725,0.5,0.44444,"+"
0.13889,0.5,0.23611,"--"
0.717593333333,0.91667,0.5,"++"
0.527780714286,0.54167,0.5,"+"
0.84722,0.91667,0.56944,"++"
0.772218666667,0.83333,0.69444,"++"
0.79167,0.79167,0.5,"++"
0.722221666667,0.81944,0.47222,"++"
0.770371333333,0.76389,0.56944,"+"
0.625,0.625,0.61111,"0"
0.70833,0.70833,0.43056,"+"
0.770061111111,0.88889,0.5,"++"
0.79167,0.90278,0.5,"+"
0.448301666667,0.5,0.44444,"+"
0.66667,0.55556,0.5,"+"
0.450397142857,0.70833,0.15278,"++"
0.84722,0.97222,0.5,"++"
0.708331818182,0.875,0.5,"+"
?,0.5,0.47222,"0"
0.641341176471,0.95833,0.48611,"++"
?,0.51389,0.5,"0"
0.69444,0.75,0.5,"++"
0.65278,0.48611,0.40278,"--"
1.0,0.66667,0.54167,"++"
?,0.54167,0.5,"+"
0.658731428571,0.75,0.34722,"+"
0.31111,0.5,0.18056,"--"
0.636753076923,0.72222,0.36111,"+"
0.83333,0.77778,0.5,"++"
0.86111,0.73611,0.5,"++"
0.620833,0.77778,0.625,"0"
0.466666,0.66667,0.54167,"+"
0.629628888889,0.59722,0.5,"+"
0.73611,0.81944,0.5,"++"
0.483974615385,0.68056,0.5,"0"
0.46528,0.5,0.47222,"0"
0.38889,0.5,0.36111,"-"
0.60164,0.80556,0.5,"++"
0.699074166667,0.83333,0.72222,"++"
0.781748571429,0.83333,0.5,"++"
0.70833,0.88889,0.55556,"+"
0.90278,0.93056,0.5,"++"
0.75,0.75,0.5,"0"
0.661111333333,0.94444,0.5,"++"
0.76389,0.625,0.44444,"+"
0.70833,0.5,0.5,"+"
0.75,0.75,0.5,"+"
?,0.70833,0.5,"0"
0.76389,0.69444,0.5,"+"
0.6011132,0.81944,0.5,"+"
0.20833,0.84722,0.51389,"+"
0.7743075,0.79167,0.5,"+"
0.291665,0.5,0.375,"+"
0.73611,0.73611,0.54167,"++"
0.79167,0.75,0.58333,"+"
0.76389,0.83333,0.5,"+"
0.625,0.58333,0.44444,"+"
?,0.77778,0.5,"0"
0.70406,0.94444,0.68056,"++"
?,0.72222,0.5,"+"
0.69444,0.69444,0.45833,"-"
0.826390833333,0.93056,0.5,"++"
0.375003333333,0.5,0.40278,"0"
0.69444,0.65278,0.5,"+"
0.529969473684,0.625,0.5,"+"
0.63889,0.65278,0.5,"+"
0.824075833333,0.84722,0.5,"++"
0.69444,0.75,0.51389,"+"
0.666665,0.55556,0.5,"+"
0.81944,0.68056,0.5,"+"
0.76852,0.66667,0.5,"+"
0.565474285714,0.70833,0.5,"+"
0.661111,0.77778,0.5,"+"
0.627776,0.65278,0.27778,"-"
0.68056,0.68056,0.5,"+"
0.7270845,0.90278,0.65278,"++"
0.677780666667,0.69444,0.5,"+"
0.675926666667,0.79167,0.5,"+"
0.65451625,0.63889,0.5,"+"
0.650792857143,0.97222,0.43056,"+"
0.690475714286,0.73611,0.5,"++"
0.75,0.5,0.43056,"++"
0.76389,0.80556,0.58333,"++"
0.689814666667,0.83333,0.55556,"++"
0.583331875,0.55556,0.27778,"0"
0.75,0.66667,0.55556,"+"
0.515875714286,0.84722,0.16667,"++"
0.81944,0.70833,0.58333,"+"
0.65278,0.76389,0.5,"+"
0.76389,0.58333,0.5,"+"
0.817461428571,0.63889,0.5,"++"
0.44856037037,0.75,0.15278,"-"
0.88889,0.95833,0.55556,"++"
0.70139,0.75,0.5,"++"
0.667930909091,0.70833,0.5,"++"
0.717593333333,0.76389,0.5,"+"
0.719133333333,0.84722,0.5,"++"
0.459403076923,0.51389,0.47222,"+"
0.679976666667,0.86111,0.625,"+"
0.875,0.79167,0.5,"++"
0.468432727273,0.72222,0.5,"+"
?,0.63889,0.5,"+"
0.490744,0.65278,0.30556,"+"
0.775639230769,0.86111,0.77778,"+"
0.65278,0.59722,0.5,"++"
?,0.5,0.41667,"0"
0.72222,0.72222,0.55556,"+"
0.72222,0.77778,0.5,"0"
0.68056,0.81944,0.5,"+"
0.478396666667,0.52778,0.5,"+"
0.98611,1.0,0.61111,"++"
0.79167,0.80556,0.5,"+"
0.592591333333,0.88889,0.47222,"+"
0.542928181818,0.52778,0.5,"0"
0.76389,0.77778,0.5,"++"
0.75,0.58333,0.5,"+"
0.685183333333,0.81944,0.61111,"++"
0.33333,0.5,0.5,"0"
0.80556,0.77778,0.5,"++"
0.81944,0.81944,0.5,"+"
0.688271111111,0.79167,0.69444,"+"
0.717593333333,0.94444,0.5,"+"
0.764754375,0.68056,0.625,"++"
0.5572925,0.68056,0.5,"+"
?,0.5,0.41667,"0"
0.41898,0.88889,0.61111,"++"
0.83333,0.77778,0.5,"++"
0.689816666667,0.47222,0.44444,"-"
0.375,0.5,0.375,"+"
0.679294545455,0.5,0.33333,"-"
0.748456666667,0.73611,0.65278,"0"
0.680556666667,0.84722,0.23611,"0"
0.25,0.5,0.41667,"0"
0.81944,0.59722,0.5,"++"
0.675000666667,0.72222,0.59722,"++"
0.78472,0.81944,0.5,"++"
0.78472,0.90278,0.70833,"++"
0.7673585,0.84722,0.81944,"++"
0.515278,0.68056,0.48611,"+"
0.722222,0.75,0.61111,"++"
0.86111,0.79167,0.63889,"++"
0.90278,0.88889,0.5,"++"
0.76389,0.73611,0.5,"++"
0.72222,0.84722,0.5,"+"
0.614585833333,0.84722,0.72222,"++"
0.555558571429,0.88889,0.47222,"+"
0.734125714286,0.5,0.5,"+"
?,0.43056,0.27778,"0"
0.66667,0.58333,0.5,"0"
?,0.79167,0.5,"+"
0.75,0.77778,0.48611,"+"
?,0.86111,0.40278,"+"
0.79167,0.88889,0.5,"+"
0.715275555556,0.75,0.5,"++"
0.93056,0.97222,0.5,"++"
0.38194625,0.5,0.45833,"0"
0.620139,0.69444,0.55556,"+"
0.31944,0.76389,0.44444,"+"
0.598764444444,0.69444,0.65278,"+"
0.70833,0.55556,0.44444,"+"
?,0.55556,0.5,"0"
0.717879375,0.75,0.5,"+"
0.65278,0.68056,0.5,"0"
0.351847777778,0.51389,0.5,"+"
0.3287,0.5,0.22222,"-"
0.796296666667,0.75,0.43056,"++"
0.743824444444,0.84722,0.68056,"++"
0.560186666667,0.55556,0.54167,"+"
0.675503636364,0.55556,0.5,"+"
0.688889333333,0.77778,0.61111,"+"
0.80556,0.83333,0.5,"+"
0.628086666667,0.83333,0.31944,"+"
0.29167,0.5,0.22222,"--"
0.422222,0.66667,0.5,"+"
0.694445,0.70833,0.5,"+"
0.76389,0.61111,0.5,"+"
0.66667,0.625,0.5,"0"
0.72222,0.72222,0.5,"++"
0.243055,0.41667,0.29167,"-"
?,0.54167,0.29167,"-"
0.68056,0.86111,0.52778,"++"
0.68923625,0.72222,0.69444,"+"
0.75,0.83333,0.5,"++"
0.61111,0.66667,0.61111,"+"
0.584875555556,0.84722,0.54167,"++"
0.68056,0.70833,0.5,"+"
0.7,0.69444,0.19444,"0"
0.461536923077,0.72222,0.51389,"+"
0.61805625,0.77778,0.5,"+"
0.638886666667,0.77778,0.61111,"+"
0.65278,0.72222,0.5,"++"
0.494444,0.76389,0.66667,"+"
0.693054,0.72222,0.625,"+"
?,0.56944,0.44444,"0"
0.823231818182,0.83333,0.80556,"++"
0.33333,0.5,0.38889,"-"
0.759258888889,0.58333,0.5,"++"
0.30556,0.59722,0.44444,"0"
0.413581111111,0.55556,0.38889,"+"
0.633334,0.66667,0.5,"+"
0.73611,0.69444,0.5,"+"
0.80556,0.73611,0.5,"++"
0.703702222222,0.77778,0.5,"+"
0.456946,0.61111,0.41667,"0"
0.608187894737,0.70833,0.5,"++"
0.72222125,0.77778,0.45833,"++"
0.81944,0.81944,0.5,"+"
0.53505047619,0.58333,0.5,"0"
0.77778,0.70833,0.5,"+"
0.61111,0.56944,0.5,"+"
0.26389,0.5,0.38889,"-"
0.925509090909,0.94444,0.5,"++"
0.762501,0.77778,0.75,"+"
?,0.70833,0.5,"0"
0.63542,0.72222,0.33333,"+"
?,0.625,0.5,"+"
?,0.47222,0.41667,"0"
0.75,0.88889,0.5,"+"
?,0.55556,0.51389,"+"
?,0.65278,0.55556,"++"
0.705359285714,0.88889,0.54167,"++"
0.747354285714,0.81944,0.51389,"++"
0.18056,0.54167,0.5,"0"
0.125,0.66667,0.23611,"--"
0.567131111111,0.52778,0.5,"0"
0.80556,0.65278,0.5,"+"
0.769447333333,0.91667,0.5,"++"
0.694445,0.65278,0.63889,"++"
0.67187375,0.83333,0.5,"++"
?,0.79167,0.5,"+"
0.556548571429,0.80556,0.73611,"++"
0.77778,0.86111,0.5,"+"
0.86111,0.88889,0.47222,"++"
0.373932307692,0.5,0.44444,"-"
0.77778,0.69444,0.5,"+"
0.63889,0.63889,0.26389,"0"
0.83333,0.86111,0.5,"++"
0.72222,0.72222,0.61111,"++"
0.707067272727,0.80556,0.5,"++"
0.570259411765,0.66667,0.5,"+"
0.70833,0.75,0.43056,"0"
0.625,0.55556,0.52778,"+"
0.736112727273,0.66667,0.5,"0"
0.81944,0.81944,0.5,"++"
0.83333,0.625,0.5,"++"
0.212302857143,0.23611,0.18056,"--"
?,0.5,0.44444,"0"
?,0.69444,0.5,"+"
0.715906818182,0.86111,0.83333,"++"
0.701853333333,0.80556,0.61111,"++"
0.753268235294,0.79167,0.5,"+"
0.572600909091,0.72222,0.38889,"+"
0.80556,0.80556,0.55556,"+"
0.5,0.75,0.5,"+"
0.61111,0.61111,0.58333,"+"
0.531943,0.88889,0.5,"+"
0.30556,0.65278,0.5,"+"
0.47222,0.70833,0.5,"+"
0.563271111111,0.68056,0.5,"+"
0.65277375,0.69444,0.54167,"+"
?,0.55556,0.30556,"+"
0.663887333333,1.0,0.75,"++"
0.558202380952,0.59722,0.44444,"+"
0.635621764706,0.76389,0.5,"++"
0.631945,0.77778,0.76389,"++"
0.65278,0.54167,0.5,"0"
?,0.79167,0.5,"0"
0.77778,0.75,0.5,"++"
0.791665,0.86111,0.5,"++"
0.84722,0.95833,0.61111,"++"
0.81944,0.93056,0.5,"++"
0.730157142857,0.77778,0.59722,"0"
0.68056,0.625,0.5,"0"
0.61111,0.81944,0.5,"++"
0.638891176471,0.77778,0.5,"+"
0.79167,0.73611,0.5,"+"
0.79167,0.79167,0.5,"++"
0.66667,0.66667,0.5,"++"
0.757936428571,0.94444,0.5,"++"
0.494951818182,0.70833,0.5,"+"
0.79167,0.80556,0.5,"++"
0.669871538462,0.76389,0.47222,"+"
0.68056,0.84722,0.55556,"++"
0.84722,0.88889,0.5,"++"
0.77778,0.88889,0.5,"++"
0.729938888889,0.80556,0.56944,"+"
0.76389,0.81944,0.55556,"+"
0.77778,0.70833,0.5,"+"
0.625,0.76389,0.5,"+"
0.80556,0.81944,0.5,"+"
0.25,0.5,0.5,"0"
0.77778,0.83333,0.5,"+"
0.76597,0.69444,0.66667,"++"
0.803030909091,0.77778,0.77778,"++"
?,0.5,0.41667,"0"
0.73611,0.69444,0.5,"-"
0.75,0.75,0.51389,"+"
0.438272222222,0.5,0.47222,"+"
0.63889,0.63889,0.5,"++"
0.86111,1.0,0.5,"++"
0.813131818182,0.83333,0.5,"++"
